Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
Breast Cancer,imbalanced_feature_distribution,high,automated_cleaning,quantile transform,0.018315900000743568,455,455,0.0,0.35499715805053683,0.3733130580512804
Breast Cancer,invalid_values,low,automated_cleaning,sentinel to NaN then impute,0.023434799979440868,455,455,0.0,0.3200254440307614,0.34346024401020225
Breast Cancer,invalid_values,medium,automated_cleaning,sentinel to NaN then impute,0.023115499992854893,455,455,0.0,0.3395645618438716,0.3626800618367265
Breast Cancer,invalid_values,high,automated_cleaning,sentinel to NaN then impute,0.023398499994073063,455,455,0.0,0.327668190002441,0.3510666899965141
Breast Cancer,missing_values,low,automated_cleaning,KNN imputation,0.01907690000371076,455,455,0.0,0.3329217433929441,0.3519986433966549
Breast Cancer,missing_values,medium,automated_cleaning,KNN imputation,0.02220020000822842,455,455,0.0,0.3234624862670895,0.34566268627531793
Breast Cancer,missing_values,high,automated_cleaning,KNN imputation,0.02730430001975037,455,455,0.0,0.3466391563415523,0.37394345636130266
Breast Cancer,missing_values_mnar,low,automated_cleaning,KNN imputation,0.01749009999912232,455,455,0.0,0.35511183738708463,0.37260193738620695
Breast Cancer,missing_values_mnar,medium,automated_cleaning,KNN imputation,0.021952299983240664,455,455,0.0,0.3425319194793696,0.3644842194626103
Breast Cancer,missing_values_mnar,high,automated_cleaning,KNN imputation,0.025943900021957234,455,455,0.0,0.3060505390167233,0.33199443903868053
Breast Cancer,outliers,low,automated_cleaning,IQR clipping,0.03311659998144023,455,455,0.0,0.32114124298095653,0.35425784296239676
Breast Cancer,outliers,medium,automated_cleaning,IQR clipping,0.03211090000695549,455,455,0.0,0.3126945495605465,0.344805449567502
Breast Cancer,outliers,high,automated_cleaning,IQR clipping,0.032195899984799325,455,455,0.0,0.31511378288269,0.3473096828674893
Breast Cancer,outliers_targeted,low,automated_cleaning,IQR clipping,0.03203050000593066,455,455,0.0,0.3178911209106442,0.34992162091657486
Breast Cancer,outliers_targeted,medium,automated_cleaning,IQR clipping,0.032512900012079626,455,455,0.0,0.321247816085815,0.3537607160978946
Breast Cancer,outliers_targeted,high,automated_cleaning,IQR clipping,0.03252609999617562,455,455,0.0,0.3307497501373287,0.36327585013350433
Breast Cancer,redundant_features,low,automated_cleaning,drop correlated features,0.0023472000029869378,455,455,0.0,0.3411250114440914,0.34347221144707835
Breast Cancer,redundant_features,medium,automated_cleaning,drop correlated features,0.0023760999902151525,455,455,0.0,0.38380527496337863,0.3861813749535938
Breast Cancer,redundant_features,high,automated_cleaning,drop correlated features,0.0031595999898854643,455,455,0.0,0.3391423225402828,0.3423019225301683
Breast Cancer,typographical_errors,low,automated_cleaning,fuzzy match to known categories,0.0007416000007651746,455,455,0.0,0.3204348087310788,0.321176408731844
Breast Cancer,typographical_errors,medium,automated_cleaning,fuzzy match to known categories,0.0007905000238679349,455,455,0.0,0.321930885314941,0.32272138533880895
Breast Cancer,typographical_errors,high,automated_cleaning,fuzzy match to known categories,0.0007081999792717397,455,455,0.0,0.3354949951171872,0.33620319509645896
German Credit,categorical_errors,low,automated_cleaning,validate against vocabulary,0.006974999996600673,800,800,0.0,0.4756252765655514,0.4826002765621521
German Credit,categorical_errors,medium,automated_cleaning,validate against vocabulary,0.008113399991998449,800,800,0.0,0.42091536521911593,0.4290287652111144
German Credit,categorical_errors,high,automated_cleaning,validate against vocabulary,0.006283599999733269,800,800,0.0,0.4768159389495846,0.48309953894931784
German Credit,class_imbalance,low,automated_cleaning,oversample minority,0.0008808000129647553,776,1120,44.329896907216494,0.5481259822845456,0.5490067822975103
German Credit,class_imbalance,medium,automated_cleaning,oversample minority,0.0009099000017158687,740,1120,51.35135135135135,0.5253586769104,0.5262685769121158
German Credit,class_imbalance,high,automated_cleaning,oversample minority,0.0009136000007856637,704,1120,59.09090909090909,0.5226716995239253,0.523585299524711
German Credit,contextual_errors,low,automated_cleaning,IQR clipping,0.006617700011702254,800,800,0.0,0.39240550994873,0.3990232099604323
