Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,missing_values,medium,Gaussian Naive Bayes,dirty,0.921052632,0.923076923,0.857142857,0.888888889,0.988756614,0.000993252,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1}"
Breast Cancer,missing_values,medium,KNN,dirty,0.929824561,0.972222222,0.833333333,0.897435897,0.969246032,0.000973463,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1}"
Breast Cancer,missing_values,medium,MLP,dirty,0.964912281,0.975,0.928571429,0.951219512,0.99702381,0.135392427,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1}"
Breast Cancer,missing_values,medium,Decision Tree,dirty,0.938596491,0.972972973,0.857142857,0.911392405,0.91765873,0.003927469,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1}"
Breast Cancer,missing_values,medium,Random Forest,dirty,0.956140351,0.974358974,0.904761905,0.938271605,0.994708995,0.093417168,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1}"
Breast Cancer,missing_values,medium,XGBoost,dirty,0.99122807,1,0.976190476,0.987951807,0.995701058,0.055406332,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1}"
Breast Cancer,missing_values,medium,LightGBM,dirty,0.99122807,1,0.976190476,0.987951807,0.996362434,0.028316736,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1}"
Breast Cancer,missing_values,medium,Logistic Regression,cleaned,0.98245614,1,0.952380952,0.975609756,0.996362434,0.004900455,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,medium,Gaussian Naive Bayes,cleaned,0.921052632,0.923076923,0.857142857,0.888888889,0.989087302,0.000975609,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,medium,KNN,cleaned,0.938596491,0.972972973,0.857142857,0.911392405,0.969742063,0.000977755,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.124542124542124), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
