Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,missing_values_mnar,low,Logistic Regression,dirty,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9976851851851852,0.9880952380952381,0.9965986394557824,0.0049283504486083984,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123}"
Breast Cancer,missing_values_mnar,low,Gaussian Naive Bayes,dirty,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9887566137566137,0.9077380952380952,0.9819265610343992,0.0009818077087402344,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123}"
Breast Cancer,missing_values_mnar,low,KNN,dirty,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.984457671957672,0.9454365079365079,0.9776922429309209,0.0,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123}"
Breast Cancer,missing_values_mnar,low,MLP,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9937169312169312,0.9642857142857143,0.9914596273291927,0.13722896575927734,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123}"
Breast Cancer,missing_values_mnar,low,Decision Tree,dirty,0.8771929824561403,0.85,0.8095238095238095,0.8292682926829268,0.8865740740740741,0.8630952380952381,0.784812030075188,0.003906726837158203,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123}"
Breast Cancer,missing_values_mnar,low,Random Forest,dirty,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9976851851851851,0.9761904761904762,0.9960317460317462,0.08723831176757812,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123}"
Breast Cancer,missing_values_mnar,low,XGBoost,dirty,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9963624338624338,0.9692460317460317,0.9946507058107796,0.05280160903930664,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123}"
Breast Cancer,missing_values_mnar,low,LightGBM,dirty,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9914021164021163,0.9573412698412699,0.9890835734247618,0.0263669490814209,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123}"
Breast Cancer,missing_values_mnar,low,Logistic Regression,cleaned,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9983465608465609,0.9880952380952381,0.997467071935157,0.004884004592895508,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,Gaussian Naive Bayes,cleaned,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9894179894179893,0.9077380952380952,0.982898235199529,0.0009770393371582031,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.534798534798535), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 123, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
