Error_Type,Ceiling_pp,C*_rho_0.25,C*_rho_0.50,C*_rho_0.75,C*_rho_1.00
annotator_bias,7.18086697883127,0.008072145399663373,0.016144290799326746,0.024216436198990117,0.03228858159865349
ambiguous_labels,4.938129795070774,0.005551043046157199,0.011102086092314398,0.016653129138471598,0.022204172184628796
label_noise_asymmetric,3.5902905612918747,0.00403591203168394,0.00807182406336788,0.012107736095051821,0.01614364812673576
concept_drift,2.541630366208969,0.0028570937087011227,0.0057141874174022455,0.008571281126103369,0.011428374834804491
label_noise,0.9579124183397592,0.0010768070685303517,0.0021536141370607034,0.003230421205591055,0.004307228274121407
data_drift,0.26831143053720924,0.0003016138421826799,0.0006032276843653598,0.0009048415265480396,0.0012064553687307195
data_representativeness,0.03183004771198279,3.578074541232702e-05,7.156149082465403e-05,0.00010734223623698106,0.00014312298164930807
provenance_issues,-0.1348562208703851,-0.00015159437239596933,-0.00030318874479193865,-0.000454783117187908,-0.0006063774895838773
