Comparison,Mechanism_A,Mechanism_B,Damage_A_pp,Damage_B_pp,n,mean_diff_pp,t_p,wilcoxon_p,ci_lo,ci_hi,d_z,dataset_boot_ci_lo,dataset_boot_ci_hi,model_boot_ci_lo,model_boot_ci_hi,n_dataset_clusters,n_model_clusters,p_holm,significant_holm
missing_values vs missing_values_mnar,MCAR,MNAR (target-related),0.2822768468892625,6.699369790872797,360,6.417092943983535,3.591623203838667e-31,3.0843370127139585e-42,5.434684041378266,7.399501846588804,0.6747623796311792,1.2676040457542268,14.020699637933912,5.035495182519484,7.949215946920854,5,8,2.514136242687067e-30,True
label_noise vs label_noise_asymmetric,symmetric,one-directional,1.088443955526967,3.3709175540098064,360,2.2824735984828397,1.6055048705702994e-28,2.7848060488693564e-27,1.9129131423365606,2.6520340546291186,0.6380064792609086,0.9805152053496752,3.5844319916160043,1.230670678409504,3.147605932854112,5,8,9.633029223421796e-28,True
duplicates vs duplicates_targeted,random rows,majority class,0.10502841964497177,-0.04958605233806692,360,-0.1546144719830387,0.009141052230336356,0.003024456022836979,-0.2702380730708609,-0.03899087089521652,-0.1381365074168366,-0.3387776576300179,-0.005305412501122876,-0.28686954739445863,0.0030551100946937674,5,8,0.018282104460672712,True
duplicates vs duplicates_minority,random rows,minority class,0.10502841964497177,0.49776065601657205,360,0.3927322363716003,5.786610122076211e-07,5.919710268565685e-13,0.2415057133886307,0.5439587593545699,0.2682708001983717,0.09171089737445998,0.6678799492144123,0.2171026530129173,0.5788875527984935,5,8,2.3146440488304844e-06,True
outliers vs outliers_targeted,all features,top predictors,0.1328962464842015,0.5530834404575018,360,0.4201871939733003,2.1341292087642915e-07,5.506585830705642e-06,0.26449727927201727,0.5758771086745833,0.27879639422100216,0.07260154735124072,0.76777284059536,0.18503505846578408,0.6887905454181865,5,8,1.0670646043821457e-06,True
feature_noise vs feature_noise_targeted,all features,top predictors,0.06765251336118909,0.15638682636726814,360,0.08873431300607908,0.2064265977691037,0.015832188863043432,-0.04867076526022911,0.22613939127238725,0.06671041285736572,-0.10022914286768471,0.33249945597858677,-0.019901170999311355,0.20987665571500533,5,8,0.2064265977691037,False
typographical_errors vs categorical_errors,invalid value (typo),valid but wrong category,-0.3249839248845279,0.011376020275671927,360,0.3363599451601998,1.2416337407147753e-05,5.136543305165461e-07,0.18761107698140103,0.4851088133389986,0.2335906332847921,-0.00438745913104616,0.7637645104228865,0.06508780257817237,0.6545507363609021,5,8,3.724901222144326e-05,True
