Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata,Random_State
German Credit,data_heterogeneity,high,LightGBM,dirty,0.735,0.757396449704142,0.9142857142857143,0.8284789644012945,0.7539285714285714,0.6154761904761905,0.8875228271693394,0.03371167182922363,800,20,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Adult Income,data_heterogeneity,high,Logistic Regression,dirty,0.6930217139068456,0.44143239625167335,0.8781624500665779,0.5875278396436525,0.8479377603201617,0.7549055463751562,0.6900192003523562,0.028362035751342773,24129,14,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 2, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Adult Income,data_heterogeneity,high,Gaussian Naive Bayes,dirty,0.8138571191778551,0.6529459241323649,0.5386151797603196,0.5902955125866473,0.8537950282430753,0.7218566960377408,0.6842604148284219,0.009782552719116211,24129,14,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 2, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Adult Income,data_heterogeneity,high,KNN,dirty,0.7480523785844522,0.4963680387409201,0.8189081225033289,0.6180904522613065,0.8366237057277561,0.7717361181927371,0.5525028805427852,0.054421424865722656,24129,14,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 2, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Adult Income,data_heterogeneity,high,MLP,dirty,0.7278302668655727,0.47606019151846785,0.9267643142476698,0.6290103931314958,0.8892382436601122,0.7943245539457285,0.7417109773416137,8.813338041305542,24129,14,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 2, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Adult Income,data_heterogeneity,high,Decision Tree,dirty,0.734626222443229,0.4806716126513081,0.8195739014647138,0.6059561900073837,0.7825599854942178,0.7630202325685962,0.5594620639387039,0.04990077018737793,24129,14,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 2, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Adult Income,data_heterogeneity,high,Random Forest,dirty,0.7936350074589756,0.5562363238512035,0.8462050599201065,0.6712437285450225,0.8926918158999947,0.8112067012246748,0.751023084602035,0.2779061794281006,24129,14,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 2, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Adult Income,data_heterogeneity,high,XGBoost,dirty,0.7933034974307973,0.5614457831325301,0.7756324900133156,0.651383841207716,0.8818447322939678,0.7873969115261898,0.7388421985234515,0.09084558486938477,24129,14,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 2, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Adult Income,data_heterogeneity,high,LightGBM,dirty,0.7934692524448864,0.5620756547041708,0.7716378162450066,0.6503928170594837,0.874095188611903,0.7861720310534237,0.7293184405999473,0.10246491432189941,24129,14,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 2, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
Bank Marketing,data_heterogeneity,high,Logistic Regression,dirty,0.8833351763795201,0.8,0.003780718336483932,0.007525870178739417,0.7841380281790171,0.5018277417606026,0.3582291381953396,0.04394245147705078,36168,16,"{'error_type': 'data_heterogeneity', 'intended_rate': 45.0, 'features_scaled': 3, 'heterogeneity_type': 'different scales/units', 'schedule': 'higher', 'severity_label': 'high', 'rate_used': 45.0, 'seed': 42}",42
