Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,none,none,Logistic Regression,clean,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,0.9573412698412699,0.994273631904294,0.5268886089324951,455,30,"{'baseline': True, 'seed': 7}"
Breast Cancer,none,none,Gaussian Naive Bayes,clean,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9890873015873015,0.9077380952380952,0.9822886030109494,0.0009768009185791016,455,30,"{'baseline': True, 'seed': 7}"
Breast Cancer,none,none,KNN,clean,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201,0.9454365079365079,0.9727913619290999,0.001146078109741211,455,30,"{'baseline': True, 'seed': 7}"
Breast Cancer,none,none,MLP,clean,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.996362433862434,0.9642857142857143,0.9948543519972092,0.13444280624389648,455,30,"{'baseline': True, 'seed': 7}"
Breast Cancer,none,none,Decision Tree,clean,0.9298245614035088,0.925,0.8809523809523809,0.9024390243902439,0.9196428571428572,0.9196428571428572,0.8587406015037594,0.006211042404174805,455,30,"{'baseline': True, 'seed': 7}"
Breast Cancer,none,none,Random Forest,clean,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9958664021164021,0.9642857142857143,0.9931861676542528,0.10504317283630371,455,30,"{'baseline': True, 'seed': 7}"
Breast Cancer,none,none,XGBoost,clean,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9940476190476191,0.9523809523809523,0.9928571428571429,0.16461706161499023,455,30,"{'baseline': True, 'seed': 7}"
Breast Cancer,none,none,LightGBM,clean,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9950396825396826,0.9642857142857143,0.9937343358395991,0.03139376640319824,455,30,"{'baseline': True, 'seed': 7}"
German Credit,none,none,Logistic Regression,clean,0.74,0.8013698630136986,0.8357142857142857,0.8181818181818182,0.7822619047619048,0.6761904761904762,0.8863448372206485,0.004471778869628906,800,20,"{'baseline': True, 'seed': 7}"
German Credit,none,none,Gaussian Naive Bayes,clean,0.685,0.8347826086956521,0.6857142857142857,0.7529411764705882,0.7489285714285714,0.6845238095238095,0.857077514074338,0.0009765625,800,20,"{'baseline': True, 'seed': 7}"
German Credit,none,none,KNN,clean,0.685,0.7452229299363057,0.8357142857142857,0.7878787878787878,0.6685119047619048,0.5845238095238096,0.7983566895912868,0.0009758472442626953,800,20,"{'baseline': True, 'seed': 7}"
German Credit,none,none,MLP,clean,0.715,0.8029197080291971,0.7857142857142857,0.7942238267148014,0.7657142857142856,0.6678571428571429,0.8824084530532804,0.2080833911895752,800,20,"{'baseline': True, 'seed': 7}"
German Credit,none,none,Decision Tree,clean,0.71,0.7971014492753623,0.7857142857142857,0.7913669064748201,0.7478571428571428,0.6595238095238095,0.8450513776326546,0.0020253658294677734,800,20,"{'baseline': True, 'seed': 7}"
German Credit,none,none,Random Forest,clean,0.79,0.810126582278481,0.9142857142857143,0.8590604026845637,0.8254761904761905,0.7071428571428571,0.9182597171792724,0.0992124080657959,800,20,"{'baseline': True, 'seed': 7}"
German Credit,none,none,XGBoost,clean,0.765,0.7924528301886793,0.9,0.842809364548495,0.7916666666666667,0.675,0.8898591747083129,0.045072078704833984,800,20,"{'baseline': True, 'seed': 7}"
German Credit,none,none,LightGBM,clean,0.735,0.7919463087248322,0.8428571428571429,0.8166089965397924,0.7807142857142857,0.6630952380952381,0.8884203894781103,0.025992155075073242,800,20,"{'baseline': True, 'seed': 7}"
Adult Income,none,none,Logistic Regression,clean,0.817503729487817,0.7135250266240681,0.44607190412782954,0.5489553461696026,0.8500599950452292,0.6933515556834248,0.6896644176964691,0.013771295547485352,24129,14,"{'baseline': True, 'seed': 7}"
Adult Income,none,none,Gaussian Naive Bayes,clean,0.797778882811205,0.6985915492957746,0.33022636484687085,0.4484629294755877,0.8497596524724922,0.6414980864181385,0.6777643784209604,0.006417512893676758,24129,14,"{'baseline': True, 'seed': 7}"
Adult Income,none,none,KNN,clean,0.8189955246146196,0.6529850746268657,0.5825565912117177,0.6157635467980296,0.849777064700902,0.7399651197064989,0.6263575224233291,0.03594350814819336,24129,14,"{'baseline': True, 'seed': 7}"
Adult Income,none,none,MLP,clean,0.843858776727996,0.6966292134831461,0.6604527296937417,0.6780587833219412,0.9024797658150787,0.7825547691726267,0.7667016873985776,5.68522572517395,24129,14,"{'baseline': True, 'seed': 7}"
Adult Income,none,none,Decision Tree,clean,0.8509862423338306,0.7485572959604286,0.6045272969374168,0.6688766114180479,0.8859874467384177,0.7686066191153648,0.7486877187872127,0.04126620292663574,24129,14,"{'baseline': True, 'seed': 7}"
Adult Income,none,none,Random Forest,clean,0.8533068125310791,0.7946513849092646,0.5539280958721704,0.6528050215770891,0.913021731342687,0.7532386010148757,0.8017320782021341,0.18497538566589355,24129,14,"{'baseline': True, 'seed': 7}"
Adult Income,none,none,XGBoost,clean,0.8668987236863915,0.7820823244552058,0.6451398135818908,0.7070412258299891,0.924511157197598,0.7927751594945428,0.8236635165594914,0.06815648078918457,24129,14,"{'baseline': True, 'seed': 7}"
Adult Income,none,none,LightGBM,clean,0.8659041936018564,0.7792103142626914,0.6438082556591211,0.7050674444039373,0.9248333201578356,0.7916679768695076,0.8236211832650248,0.07278680801391602,24129,14,"{'baseline': True, 'seed': 7}"
