Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,missing_values,low,Logistic Regression,dirty,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9973544973544973,0.9761904761904762,0.9961904761904763,0.029117822647094727,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,low,Gaussian Naive Bayes,dirty,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9884259259259259,0.9077380952380952,0.9813169288458197,0.0009772777557373047,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,low,KNN,dirty,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9928902116402116,0.933531746031746,0.9826978159684927,0.0009686946868896484,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,low,MLP,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9976851851851852,0.9642857142857143,0.9965986394557824,0.23535704612731934,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,low,Decision Tree,dirty,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9246031746031745,0.9246031746031746,0.8536818236066357,0.00396728515625,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,low,Random Forest,dirty,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9950396825396826,0.9573412698412699,0.9923177351748782,0.10476422309875488,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,low,XGBoost,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9930555555555556,0.9642857142857143,0.9914764991013562,0.11323380470275879,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,low,LightGBM,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9933862433862434,0.9642857142857143,0.9917095293401914,0.037041664123535156,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,low,Logistic Regression,cleaned,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.998015873015873,0.9811507936507937,0.9969001785111209,0.009384393692016602,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,low,Gaussian Naive Bayes,cleaned,0.9298245614035088,0.9473684210526315,0.8571428571428571,0.9,0.9897486772486772,0.9146825396825397,0.983399210783561,0.001953125,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,low,KNN,cleaned,0.9385964912280702,0.972972972972973,0.8571428571428571,0.9113924050632911,0.9947089947089947,0.9216269841269842,0.9880504728330815,0.0009768009185791016,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,low,MLP,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9983465608465609,0.9642857142857143,0.997467071935157,0.25263452529907227,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,low,Decision Tree,cleaned,0.9298245614035088,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.9295634920634921,0.9295634920634921,0.8493677375256322,0.006897687911987305,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,low,Random Forest,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9966931216931217,0.9642857142857143,0.9946451004337757,0.09938549995422363,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,low,XGBoost,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.994047619047619,0.9642857142857143,0.9923244357887502,0.05608201026916504,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,low,LightGBM,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9927248677248677,0.9642857142857143,0.9903923418230096,0.03756308555603027,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.465201465201465), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,medium,Logistic Regression,dirty,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9983465608465609,0.9761904761904762,0.997467071935157,0.00426173210144043,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,medium,Gaussian Naive Bayes,dirty,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9867724867724867,0.9077380952380952,0.9784249945866359,0.0009953975677490234,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,medium,KNN,dirty,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.972387566137566,0.9573412698412699,0.9663679014609694,0.0019500255584716797,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,medium,MLP,dirty,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9970238095238095,0.9761904761904762,0.9957983193277311,0.28087806701660156,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,medium,Decision Tree,dirty,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8869047619047619,0.8869047619047619,0.7873254564983888,0.004947185516357422,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,medium,Random Forest,dirty,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9915674603174603,0.9454365079365079,0.9872346885645531,0.10332679748535156,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,medium,XGBoost,dirty,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9897486772486772,0.9761904761904762,0.9898891063274625,0.05817914009094238,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,medium,LightGBM,dirty,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9953703703703705,0.9761904761904762,0.9940476190476191,0.034004926681518555,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'seed': 7}"
Breast Cancer,missing_values,medium,Logistic Regression,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9976851851851851,0.9642857142857143,0.9962414668202727,0.008891582489013672,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,medium,Gaussian Naive Bayes,cleaned,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9887566137566137,0.9077380952380952,0.9817873126808652,0.002031564712524414,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,medium,KNN,cleaned,0.9385964912280702,0.972972972972973,0.8571428571428571,0.9113924050632911,0.9953703703703703,0.9216269841269842,0.9887710707222902,0.0019834041595458984,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,medium,MLP,cleaned,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9996693121693122,0.9761904761904762,0.9994462901439646,0.28021788597106934,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,medium,Decision Tree,cleaned,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9246031746031745,0.9246031746031746,0.8536818236066357,0.00588679313659668,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,medium,Random Forest,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9976851851851852,0.9642857142857143,0.9956916099773243,0.12468385696411133,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
Breast Cancer,missing_values,medium,XGBoost,cleaned,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9950396825396826,0.9573412698412699,0.9924413267825152,0.06676220893859863,455,30,"{'error_type': 'missing_values', 'intended_rate': 20, 'actual_rate': np.float64(18.16117216117216), 'cells_corrupted': 2730, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 7}"
