Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,missing_values_mnar,low,Logistic Regression,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9973544973544973,0.9642857142857143,0.996031746031746,0.011717557907104492,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Breast Cancer,missing_values_mnar,low,Gaussian Naive Bayes,dirty,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9890873015873015,0.9077380952380952,0.9823866484510084,0.0029153823852539062,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Breast Cancer,missing_values_mnar,low,KNN,dirty,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9831349206349207,0.9523809523809523,0.9758438649816029,0.003118753433227539,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Breast Cancer,missing_values_mnar,low,MLP,dirty,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9970238095238094,0.9692460317460317,0.9956235827664399,0.23236656188964844,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Breast Cancer,missing_values_mnar,low,Decision Tree,dirty,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9523809523809523,0.9523809523809523,0.9398496240601504,0.004933834075927734,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Breast Cancer,missing_values_mnar,low,Random Forest,dirty,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9990079365079365,0.9573412698412699,0.9983125032958922,0.10986781120300293,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Breast Cancer,missing_values_mnar,low,XGBoost,dirty,0.9649122807017544,1.0,0.9047619047619048,0.95,0.996031746031746,0.9523809523809523,0.9936211627778357,0.05464458465576172,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Breast Cancer,missing_values_mnar,low,LightGBM,dirty,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9947089947089947,0.9454365079365079,0.9926294427601048,0.03243851661682129,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Breast Cancer,missing_values_mnar,low,Logistic Regression,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9973544973544973,0.9642857142857143,0.996031746031746,0.010758638381958008,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,Gaussian Naive Bayes,cleaned,0.9298245614035088,0.9473684210526315,0.8571428571428571,0.9,0.9897486772486772,0.9146825396825397,0.9834354012854756,0.001954793930053711,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,KNN,cleaned,0.9298245614035088,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9828042328042328,0.9097222222222223,0.9733828020441293,0.0009760856628417969,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,MLP,cleaned,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9957010582010583,0.9573412698412699,0.9936783938090559,0.213242769241333,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,Decision Tree,cleaned,0.9122807017543859,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8908730158730159,0.8908730158730158,0.8347257031467558,0.0040094852447509766,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,Random Forest,cleaned,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9953703703703703,0.9523809523809523,0.9928505089979254,0.0979301929473877,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,XGBoost,cleaned,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9947089947089947,0.9761904761904762,0.9927489177489178,0.05534958839416504,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,LightGBM,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9940476190476191,0.9642857142857143,0.9923244357887502,0.036066293716430664,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.527472527472527), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
German Credit,missing_values_mnar,low,Logistic Regression,dirty,0.68,0.8114754098360656,0.7071428571428572,0.7557251908396947,0.7579761904761906,0.661904761904762,0.8757131131896054,0.008271932601928711,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
German Credit,missing_values_mnar,low,Gaussian Naive Bayes,dirty,0.535,0.8507462686567164,0.40714285714285714,0.5507246376811594,0.7217857142857144,0.6202380952380953,0.8319977920733649,0.0019419193267822266,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
German Credit,missing_values_mnar,low,KNN,dirty,0.645,0.8285714285714286,0.6214285714285714,0.710204081632653,0.7176190476190475,0.6607142857142857,0.8333488788469317,0.0020241737365722656,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
German Credit,missing_values_mnar,low,MLP,dirty,0.7,0.8703703703703703,0.6714285714285714,0.7580645161290323,0.7791666666666667,0.719047619047619,0.8960167142620108,0.36011672019958496,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
German Credit,missing_values_mnar,low,Decision Tree,dirty,0.645,0.8556701030927835,0.5928571428571429,0.70042194092827,0.6535714285714285,0.6797619047619048,0.8005787498875439,0.0038971900939941406,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
German Credit,missing_values_mnar,low,Random Forest,dirty,0.74,0.860655737704918,0.75,0.8015267175572519,0.790952380952381,0.7333333333333334,0.8909674153456213,0.12036752700805664,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
German Credit,missing_values_mnar,low,XGBoost,dirty,0.665,0.8686868686868687,0.6142857142857143,0.7196652719665272,0.7695238095238095,0.6988095238095238,0.8908813111192064,0.05327129364013672,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
German Credit,missing_values_mnar,low,LightGBM,dirty,0.685,0.9052631578947369,0.6142857142857143,0.7319148936170212,0.7864285714285714,0.7321428571428572,0.898026680868226,0.038083791732788086,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
German Credit,missing_values_mnar,low,Logistic Regression,cleaned,0.72,0.7876712328767124,0.8214285714285714,0.8041958041958042,0.763452380952381,0.6523809523809524,0.8770417584244804,0.0068514347076416016,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 800, 'rows_after': 800, 'test_transformed': False}"
German Credit,missing_values_mnar,low,Gaussian Naive Bayes,cleaned,0.69,0.8305084745762712,0.7,0.7596899224806202,0.7450000000000001,0.6833333333333333,0.860001560879396,0.0026552677154541016,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 800, 'rows_after': 800, 'test_transformed': False}"
German Credit,missing_values_mnar,low,KNN,cleaned,0.67,0.7228915662650602,0.8571428571428571,0.7843137254901961,0.6788095238095238,0.5452380952380952,0.8141735888438488,0.0019526481628417969,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 800, 'rows_after': 800, 'test_transformed': False}"
German Credit,missing_values_mnar,low,MLP,cleaned,0.71,0.8059701492537313,0.7714285714285715,0.7883211678832117,0.7523809523809523,0.6690476190476191,0.8746899993462827,0.3240785598754883,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 800, 'rows_after': 800, 'test_transformed': False}"
German Credit,missing_values_mnar,low,Decision Tree,cleaned,0.745,0.8396946564885496,0.7857142857142857,0.8118081180811808,0.7124404761904761,0.7178571428571429,0.816773523070446,0.002956867218017578,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 800, 'rows_after': 800, 'test_transformed': False}"
German Credit,missing_values_mnar,low,Random Forest,cleaned,0.765,0.803921568627451,0.8785714285714286,0.8395904436860068,0.7967857142857143,0.6892857142857143,0.8974248814293195,0.11095476150512695,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 800, 'rows_after': 800, 'test_transformed': False}"
German Credit,missing_values_mnar,low,XGBoost,cleaned,0.73,0.7945205479452054,0.8285714285714286,0.8111888111888111,0.7751190476190476,0.6642857142857144,0.8827813288986202,0.058484792709350586,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 800, 'rows_after': 800, 'test_transformed': False}"
German Credit,missing_values_mnar,low,LightGBM,cleaned,0.72,0.7876712328767124,0.8214285714285714,0.8041958041958042,0.774047619047619,0.6523809523809524,0.8721274324661386,0.038088083267211914,800,20,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.7250000000000005), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 800, 'rows_after': 800, 'test_transformed': False}"
Adult Income,missing_values_mnar,low,Logistic Regression,dirty,0.8050721034311288,0.7562893081761006,0.3202396804260985,0.4499532273152479,0.8082061408007156,0.643015448246596,0.6285182416956322,0.02002263069152832,24129,14,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.455776392367217), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Adult Income,missing_values_mnar,low,Gaussian Naive Bayes,dirty,0.7919774573180839,0.6902927580893683,0.2982689747003995,0.4165504416550442,0.8198029787988118,0.6269539532517667,0.6345088003810244,0.00585484504699707,24129,14,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.455776392367217), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Adult Income,missing_values_mnar,low,KNN,dirty,0.8020885131775236,0.8067729083665338,0.26964047936085217,0.4041916167664671,0.785626815243179,0.6241162008369037,0.5790612819024094,0.06215524673461914,24129,14,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.455776392367217), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Adult Income,missing_values_mnar,low,MLP,dirty,0.805237858445218,0.8707482993197279,0.255659121171771,0.3952650540401441,0.8887351257691871,0.6215395583788672,0.7363055388195594,8.42435073852539,24129,14,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.455776392367217), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Adult Income,missing_values_mnar,low,Decision Tree,dirty,0.8131940991214984,0.9411764705882353,0.2663115845539281,0.4151530877010898,0.8692244666935662,0.630397019379149,0.6861750891833762,0.05661773681640625,24129,14,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.455776392367217), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Adult Income,missing_values_mnar,low,Random Forest,dirty,0.8059008785015747,0.9559228650137741,0.2310252996005326,0.37211796246648793,0.8844712604190513,0.6137470351456646,0.7478527178776668,0.295734167098999,24129,14,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.455776392367217), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Adult Income,missing_values_mnar,low,XGBoost,dirty,0.8121995690369633,0.9792207792207792,0.25099866844207724,0.3995760466348702,0.9155636962825406,0.6246165268937378,0.8086829130149898,0.10531997680664062,24129,14,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.455776392367217), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
Adult Income,missing_values_mnar,low,LightGBM,dirty,0.8140228741919443,0.9773869346733668,0.2589880159786951,0.4094736842105263,0.9162394670711985,0.6285008497461341,0.8101666128367156,0.09894943237304688,24129,14,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.455776392367217), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 7}"
