Error_Type,Route,Damage_pp,Net_Improvement_pp,Eligible_Damage_pp,Eligible_Improvement_pp,Conditional_Recovery_%,Coverage_%
missing_values_mnar,automated_cleaning,6.542907738312505,4.32149422804113,8.552559302836368,5.853626834661947,68.44298446104492,79.16666666666666
contextual_errors,automated_cleaning,3.5571973197112174,2.6351255128682856,7.006618946601292,4.9983087254647645,71.33695671989268,53.333333333333336
invalid_values,automated_cleaning,2.6235357100433108,2.576908346713583,6.678649292066061,6.119470562050513,91.62736796675598,43.333333333333336
data_inconsistency,automated_cleaning,1.2377679570121007,1.2146832607880933,4.3313560865598095,3.61546982934153,83.47200638987698,37.5
data_leakage,automated_cleaning,3.0977115552829746,0.9179593315079217,4.814336129282499,2.927754994551531,60.813265130032924,67.5
duplicates_minority,automated_cleaning,0.5152994303949072,0.5141128153420195,1.5189086468149684,1.4811881027834368,97.51660219259213,42.5
redundant_features,automated_cleaning,0.515331191594092,0.358819148002897,2.8225549624642685,2.465358372976744,87.3449199665657,25.833333333333336
domain_violations,automated_cleaning,0.5725170013313867,0.29767973148414373,2.2127605830554193,1.142248891491019,51.62098874311026,41.66666666666667
missing_values,automated_cleaning,0.364113348224679,0.2848980954223383,2.011287683005593,1.8973350789700754,94.33434585224371,31.666666666666664
imbalanced_feature_distribution,automated_cleaning,0.6838243080942094,0.17752168539893437,1.4190826065512154,0.2807714354955772,19.78541870638057,54.166666666666664
outliers,automated_cleaning,0.37765102509981113,0.15405206504194344,2.000297271765813,0.7944356268530701,39.71587813804104,33.33333333333333
outliers_targeted,automated_cleaning,0.6190089360003358,0.05672070925957691,1.6594915071290153,0.19354638237490052,11.662993244824934,43.333333333333336
duplicates,automated_cleaning,0.05404114046703185,0.05285452541414411,1.3442788038438598,1.2919090735479706,96.10425083352189,15.833333333333332
feature_noise_targeted,automated_cleaning,0.3319653460466726,0.013069805560773732,1.5773965918936348,0.06034970154597514,3.8259054099721657,29.166666666666668
duplicates_targeted,automated_cleaning,0.013041056996563712,0.01185444194367596,1.6370964725245967,1.5818173127678246,96.62334134337696,15.0
data_heterogeneity,automated_cleaning,2.4132876532116483,0.0,3.263224730391909,0.0,0.0,75.83333333333333
categorical_errors,automated_cleaning,-0.0678295436986225,-0.004005746173821878,1.8224364089694969,0.021179807355839155,1.1621698980331145,15.0
feature_noise,automated_cleaning,0.08153897813447883,-0.006745831859507334,1.4473082415211054,0.0033514174600784794,0.23156210708481667,24.166666666666668
typographical_errors,automated_cleaning,-0.2932288059519089,-0.11614380570466495,0.9480056031556362,0.29571026730381256,31.192881805706495,8.333333333333332
class_imbalance,automated_cleaning,0.16188935060643236,-3.3283333583812285,2.4347346892029544,-1.8292840790115983,-75.13278909294388,21.666666666666668
