Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,none,none,Logistic Regression,clean,0.9912280701754386,0.9767441860465116,1.0,0.9882352941176471,1.0,0.9930555555555556,1.0,0.0050160884857177734,455,30,"{'baseline': True, 'split_seed': 200}"
Breast Cancer,none,none,Gaussian Naive Bayes,clean,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.994378306878307,0.9573412698412699,0.9908822729304496,0.0009870529174804688,455,30,"{'baseline': True, 'split_seed': 200}"
Breast Cancer,none,none,KNN,clean,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9852843915343916,0.9692460317460317,0.9815321059313058,0.0009770393371582031,455,30,"{'baseline': True, 'split_seed': 200}"
Breast Cancer,none,none,MLP,clean,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9993386243386243,0.9811507936507937,0.998917748917749,0.13590097427368164,455,30,"{'baseline': True, 'split_seed': 200}"
Breast Cancer,none,none,Decision Tree,clean,0.9035087719298246,0.8974358974358975,0.8333333333333334,0.8641975308641975,0.888888888888889,0.8888888888888888,0.8092667566351777,0.0039052963256835938,455,30,"{'baseline': True, 'split_seed': 200}"
Breast Cancer,none,none,Random Forest,clean,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.994212962962963,0.9454365079365079,0.9904616367748968,0.08561396598815918,455,30,"{'baseline': True, 'split_seed': 200}"
Breast Cancer,none,none,XGBoost,clean,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9957010582010581,0.9523809523809523,0.9929444201616672,0.04299616813659668,455,30,"{'baseline': True, 'split_seed': 200}"
Breast Cancer,none,none,LightGBM,clean,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.992063492063492,0.9454365079365079,0.9878579118986096,0.028753995895385742,455,30,"{'baseline': True, 'split_seed': 200}"
German Credit,none,none,Logistic Regression,clean,0.79,0.810126582278481,0.9142857142857143,0.8590604026845637,0.7903571428571429,0.7071428571428571,0.8774597600707591,0.003907442092895508,800,20,"{'baseline': True, 'split_seed': 200}"
German Credit,none,none,Gaussian Naive Bayes,clean,0.745,0.8296296296296296,0.8,0.8145454545454546,0.7691666666666667,0.7083333333333334,0.875369887299582,0.0009765625,800,20,"{'baseline': True, 'split_seed': 200}"
